account_id,opened_date,balance,account_type,kyc_status,is_dormant,risk_score
ACC-10001,2023-05-12T10:00:00Z,120.0,SAVINGS,VERIFIED,True,0.62
ACC-10002,2022-01-20T14:15:00Z,4500.5,CURRENT,VERIFIED,False,0.08
ACC-10003,2024-03-01T09:00:00Z,890.0,SALARY,VERIFIED,False,0.12
ACC-10004,2023-11-11T08:15:00Z,15000.0,SAVINGS,VERIFIED,False,0.06
ACC-10005,2024-01-18T12:40:00Z,300.0,SAVINGS,VERIFIED,False,0.72
ACC-10006,2024-05-25T16:20:00Z,5400.0,CURRENT,VERIFIED,False,0.05
ACC-10007,2023-08-10T09:00:00Z,70000.0,SALARY,VERIFIED,False,0.03
ACC-10008,2024-06-02T10:30:00Z,110.0,SAVINGS,PARTIAL,False,0.78
ACC-10009,2022-09-14T11:45:00Z,9800.0,CURRENT,VERIFIED,False,0.07
ACC-10010,2024-04-22T07:50:00Z,250.0,SAVINGS,PENDING,False,0.81
ACC-10011,2024-05-05T09:15:00Z,170.0,SAVINGS,VERIFIED,False,0.75
ACC-10012,2023-02-19T15:10:00Z,8400.0,CURRENT,VERIFIED,False,0.09
ACC-10013,2024-07-01T13:10:00Z,90.0,SAVINGS,PARTIAL,False,0.84
ACC-10014,2022-10-28T14:00:00Z,16000.0,SALARY,VERIFIED,False,0.04
ACC-10015,2024-07-20T09:40:00Z,130.0,SAVINGS,VERIFIED,False,0.69
