transaction_id,sender,receiver,amount,timestamp,channel,status
TXN-900001,ACC-99999,ACC-10001,85000,2026-08-01T10:00:00Z,IMPS,COMPLETED
TXN-900002,ACC-10001,ACC-10005,84000,2026-08-01T10:05:00Z,UPI,COMPLETED
TXN-900003,ACC-10005,ACC-10008,83000,2026-08-01T10:10:00Z,UPI,COMPLETED
TXN-900004,ACC-10008,ACC-10010,82000,2026-08-01T10:15:00Z,UPI,COMPLETED
TXN-900005,ACC-10010,ACC-10013,81000,2026-08-01T10:20:00Z,IMPS,COMPLETED
TXN-900006,ACC-10013,ACC-10015,80000,2026-08-01T10:25:00Z,UPI,COMPLETED
TXN-900007,ACC-10015,EXTERNAL_ATM,79000,2026-08-01T10:30:00Z,ATM,COMPLETED
TXN-900008,ACC-10002,ACC-10004,2500,2026-08-01T11:00:00Z,UPI,COMPLETED
TXN-900009,ACC-10004,ACC-10006,1200,2026-08-01T11:30:00Z,UPI,COMPLETED
TXN-900010,ACC-10006,ACC-10012,500,2026-08-01T12:00:00Z,NEFT,COMPLETED
TXN-900011,ACC-10007,ACC-10014,15000,2026-08-01T13:00:00Z,IMPS,COMPLETED
TXN-900012,ACC-10014,ACC-10009,4000,2026-08-01T13:30:00Z,UPI,COMPLETED
TXN-900013,ACC-10009,ACC-10002,1800,2026-08-01T14:00:00Z,UPI,COMPLETED
TXN-900014,ACC-10003,ACC-10004,6000,2026-08-01T15:00:00Z,NEFT,COMPLETED
TXN-900015,ACC-10012,ACC-10007,2500,2026-08-01T16:00:00Z,IMPS,COMPLETED
TXN-900016,ACC-99998,ACC-10011,95000,2026-08-02T09:00:00Z,IMPS,COMPLETED
TXN-900017,ACC-10011,ACC-10005,94000,2026-08-02T09:03:00Z,UPI,COMPLETED
TXN-900018,ACC-10005,ACC-10010,93000,2026-08-02T09:06:00Z,UPI,COMPLETED
TXN-900019,ACC-10010,ACC-10015,92000,2026-08-02T09:09:00Z,UPI,COMPLETED
TXN-900020,ACC-10015,EXTERNAL_WALLET,91000,2026-08-02T09:12:00Z,UPI,COMPLETED
